id,created_at,detail_url,full_description,is_private,name,photo,short_description,slug,updated_at,uuid,video_url,website,person,organisation
1,2024-05-06T17:34:37.014Z,https://www.smartwatchpro.com/products/smartwatch-pro,A collaborative digital art platform allowing artists to create and share large-scale artwork online.,False,CloudCanvas,products/smart_watch_pro.jpg,A collaborative digital art platform allowing artists to create and share large-scale artwork online.,cloud-canvas,2024-05-06T17:34:37.014Z,f8204ccd-5976-403f-b851-9cec73dd86cd,https://www.youtube.com/embed/LtJNX-oWIVc,https://www.smartwatchpro.com,,
2,2024-05-06T17:34:37.018Z,https://www.wirelessearbudsx.com/products/wireless-earbuds-x,An interactive learning management system that integrates gamification to enhance user engagement in educational environments.,False,EduSync,products/wireless_earbuds.jpg,An interactive learning management system that integrates gamification to enhance user engagement in educational environments.,edu-sync,2024-05-06T17:34:37.018Z,38583ad3-a18c-4068-b1ec-239dc57d940c,https://www.youtube.com/embed/PzlSdp7Dz1U,https://www.wirelessearbudsx.com,,
3,2024-05-06T17:34:37.020Z,https://www.gourmetcoffeeblend.com/products/gourmet-coffee-blend,A telemedicine app that provides virtual healthcare services and patient management tools to doctors and patients.,False,HealthHub,products/coffee_blend.jpg,A telemedicine app that provides virtual healthcare services and patient management tools to doctors and patients.,health-hub,2024-05-06T17:34:37.020Z,d6c44803-9e5c-47eb-aa95-a71e13d1f719,https://www.youtube.com/embed/pYT6RxeKXJI,https://www.gourmetcoffeeblend.com,,
4,2024-05-06T17:34:37.023Z,https://www.organicskincareset.com/products/organic-skincare-set,A sustainability tracking tool that helps companies measure and reduce their carbon footprint through advanced analytics and reporting.,False,EcoTracker,products/skincare_set.jpg,A sustainability tracking tool that helps companies measure and reduce their carbon footprint through advanced analytics and reporting.,eco-tracker,2024-05-06T17:34:37.023Z,6b1107d9-201e-472e-aa73-fdad8f9a639f,https://www.youtube.com/embed/UCE84HDi8OY,https://www.organicskincareset.com,,
5,2024-05-06T17:34:37.028Z,https://www.smarthomehub.com/products/smart-home-hub,"A personal finance application that uses AI to offer customized budgeting, investing, and savings advice.",False,FinanceFlow,products/smart_home_hub.jpg,"A personal finance application that uses AI to offer customized budgeting, investing, and savings advice.",finance-flow,2024-05-06T17:34:37.028Z,40d0100e-02fb-4a89-a636-f57e9e6a6063,https://www.youtube.com/embed/MtSojiNQH_4,https://www.smarthomehub.com,,
6,2024-05-06T17:34:37.030Z,https://www.ecofriendlywaterbottle.com/products/eco-friendly-water-bottle,"A comprehensive platform for hosting virtual events, featuring tools for live broadcasting, attendee interaction, and event analytics.",False,VirtualEventPro,products/eco_friendly_water_bottle.jpg,"A comprehensive platform for hosting virtual events, featuring tools for live broadcasting, attendee interaction, and event analytics.",virtual-event-pro,2024-05-06T17:34:37.030Z,05c6774a-d4fa-4f21-bb46-2c8420843259,https://www.youtube.com/embed/7Vx2k9tH1p8,https://www.ecofriendlywaterbottle.com,,
7,2024-05-06T17:34:37.033Z,https://www.wirelesschargingpad.com/products/wireless-charging-pad,"An online platform for coders to collaborate on open-source projects, featuring real-time coding sessions and peer reviews.",False,CodeCraft,products/wireless_charging_pad.jpg,"An online platform for coders to collaborate on open-source projects, featuring real-time coding sessions and peer reviews.",code-craft,2024-05-06T17:34:37.033Z,40fd55c7-6e35-452c-964e-2a288e9f72fa,https://www.youtube.com/embed/8CPGUe_IaZs,https://www.wirelesschargingpad.com,,
8,2024-05-06T17:34:37.034Z,https://www.portablebluetoothspeaker.com/products/portable-bluetooth-speaker,"A mobile app that connects pet owners with services such as veterinary care, grooming, and pet sitting within their local area.",False,PetConnect,products/bluetooth_speaker.jpg,"A mobile app that connects pet owners with services such as veterinary care, grooming, and pet sitting within their local area.",pet-connect,2024-05-06T17:34:37.035Z,0c8cf466-3c82-460f-ae3a-1c0c476996b4,https://www.youtube.com/embed/QSPOEolV4Rc,https://www.portablebluetoothspeaker.com,,
9,2024-05-06T17:34:37.036Z,https://www.sustainablefashionbackpack.com/products/sustainable-fashion-backpack,A smart home security system that uses AI-driven cameras and sensors to provide enhanced security features.,False,SecureHome,products/fashion_backback.jpg,A smart home security system that uses AI-driven cameras and sensors to provide enhanced security features.,secure-home,2024-05-06T17:34:37.036Z,b727a1a6-c2a8-4b3f-ac15-7972cdd4bc0c,https://www.youtube.com/embed/c9dJfXMKOzw,https://www.sustainablefashionbackpack.com,,
10,2024-05-06T17:34:37.039Z,https://www.homesecuritycamera.com/products/home-security-camera,"A marketplace for musicians to buy, sell, and rent gear and equipment, integrated with a feature-rich platform for live streaming performances.",False,GigGear,products/security_camera.jpg,"A marketplace for musicians to buy, sell, and rent gear and equipment, integrated with a feature-rich platform for live streaming performances.",gig-gear,2024-05-06T17:34:37.039Z,6700a1a9-8bd1-4235-b75e-ff9ba26616d9,https://www.youtube.com/embed/H0yF5HESP0Q,https://www.homesecuritycamera.com,,
